up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
1,73.47 ,up,3.26 ,1,22,0,1,,1,1,
2,147.80 ,up,6.77 ,1,13,0,1,,1,1,
3,223.37 ,up,7.13 ,1,25,0,1,,1,1,
4,568.87 ,up,1.43 ,1,24,0,1,,1,1,
5,570.77 ,up,3.23 ,1,23,0,1,,1,1,
6,574.50 ,up,2.53 ,1,22,0,2,,1,1,
7,2052.57 ,up,5.03 ,1,24,0,2,,1,1,
8,2060.17 ,up,6.30 ,1,15,0,1,,1,1,
9,2101.20 ,up,9.07 ,1,14,0,1,,1,1,
10,2112.63 ,up,4.20 ,1,23,0,2,,1,1,
11,2128.37 ,up,6.40 ,1,41,0,1,,1,1,
12,2136.53 ,up,26.04 ,1,52,0,1,,1,1,
13,2166.70 ,up,70.80 ,1,42,0,1,ovp,1,1,1
14,2378.40 ,up,2.00 ,2,43,0,1,,0.98,1,
15,2380.60 ,up,30.80 ,2,44,0,1,ovp,0.98,1,1
16,2517.27 ,up,43.20 ,3,43,0,2,ovp,0.96,1,1
17,2660.10 ,up,5.37 ,4,42,1,2,,0.94,0.5,
18,2668.23 ,up,60.97 ,4,32,0,1,ovp,0.94,1,0.75
19,2840.43 ,up,3.24 ,5,41,0,2,,0.92,1,
20,2844.70 ,up,10.60 ,5,51,0,1,,0.92,1,
21,2857.70 ,up,93.80 ,5,52,0,2,ovp,0.92,1,1
22,3050.23 ,up,1.00 ,6,42,1,3,,0.9,0.5,
23,3051.90 ,up,3.67 ,6,43,1,3,,0.9,0.5,
24,3057.70 ,up,9.63 ,6,34,0,1,,0.9,1,
25,3069.63 ,up,44.60 ,6,45,0,1,ovp,0.9,1,0.75
26,3199.50 ,up,1.67 ,7,44,1,2,,0.88,0.5,
27,3203.87 ,up,7.36 ,7,53,0,1,,0.88,1,
28,3216.57 ,up,44.43 ,7,33,0,1,ovp,0.88,1,0.833333333
29,3483.56 ,up,7.61 ,8,33,1,2,,0.86,0.5,
30,3495.23 ,up,3.40 ,8,22,0,3,,0.86,1,
31,3500.60 ,up,7.23 ,8,11,0,1,,0.86,1,
32,3516.77 ,up,1.23 ,8,12,0,1,,0.86,1,
33,3518.43 ,up,67.00 ,8,13,0,2,ovp,0.86,1,0.9
34,3740.43 ,up,0.60 ,9,23,0,3,,0.84,1,
35,3741.27 ,up,1.30 ,9,24,0,3,,0.84,1,
36,3751.87 ,up,5.30 ,9,45,1,2,,0.84,0.5,
37,3758.07 ,up,1.00 ,9,55,0,1,,0.84,1,
38,3759.33 ,up,1.60 ,9,54,0,1,,0.84,1,
39,3761.17 ,up,21.76 ,9,53,0,2,,0.84,1,
40,3791.30 ,up,5.53 ,9,45,1,3,,0.84,0.5,
41,3799.23 ,up,8.50 ,9,55,0,2,,0.84,1,
42,3828.47 ,up,27.40 ,9,35,0,1,ovp,0.84,1,0.888888889
43,4035.60 ,up,10.37 ,10,25,0,2,,0.82,1,
44,4052.37 ,up,28.56 ,10,15,0,2,ovp,0.82,1,1
45,4220.13 ,up,1.37 ,11,35,1,2,,0.8,0.5,
46,4223.53 ,up,2.07 ,11,45,1,4,,0.8,0.5,
