up series,time,behavior,bout length,egg series,bean no.,eggs on bean,bean visit no.,notes,patch value,bean quality,average encountered bean quality within every ovp bout
47,4227.53 ,up,6.07 ,11,54,0,2,,0.8,1,
48,4234.43 ,up,2.70 ,11,43,1,4,,0.8,0.5,
49,4239.37 ,up,1.50 ,11,42,1,4,,0.8,0.5,
50,4244.00 ,up,6.93 ,11,41,0,3,,0.8,1,
51,4259.40 ,up,24.47 ,11,34,0,2,ovp,0.8,1,0.714285714
52,4353.40 ,up,1.53 ,12,35,1,3,,0.78,0.5,
53,4356.67 ,up,2.00 ,12,44,1,3,,0.78,0.5,
54,4359.30 ,up,0.67 ,12,54,0,3,,0.78,1,
55,4360.10 ,up,2.73 ,12,53,0,3,,0.78,1,
56,4363.00 ,up,0.80 ,12,52,1,3,,0.78,0.5,
57,4364.03 ,up,1.30 ,12,42,1,5,,0.78,0.5,
58,4365.53 ,up,1.14 ,12,43,1,5,,0.78,0.5,
59,4367.97 ,up,3.26 ,12,33,1,3,,0.78,0.5,
60,4371.33 ,up,2.17 ,12,34,1,3,,0.78,0.5,
61,4378.73 ,up,1.74 ,12,25,0,3,,0.78,1,
62,4381.43 ,up,3.57 ,12,15,1,3,,0.78,0.5,
63,4488.37 ,up,44.56 ,12,21,0,1,ovp,0.78,1,0.666666667
64,4608.70 ,up,8.13 ,13,11,0,2,,0.76,1,
65,4617.07 ,up,3.30 ,13,12,0,2,,0.76,1,
66,4620.63 ,up,20.00 ,13,13,1,3,,0.76,0.5,
67,4641.20 ,up,1.80 ,13,23,0,4,,0.76,1,
68,4648.17 ,up,1.16 ,13,32,1,2,,0.76,0.5,
69,4651.33 ,up,2.87 ,13,42,1,6,,0.76,0.5,
70,4655.70 ,up,1.97 ,13,53,0,4,,0.76,1,
71,4657.77 ,up,65.43 ,13,54,0,4,ovp,0.76,1,0.8125
72,4853.17 ,up,5.16 ,14,55,0,3,,0.74,1,
73,4872.60 ,up,14.53 ,14,15,1,4,,0.74,0.5,
74,4887.20 ,up,3.07 ,14,14,0,2,,0.74,1,
75,4971.43 ,up,56.44 ,14,12,0,3,,0.74,1,
76,5032.47 ,up,9.70 ,14,21,1,2,ovp,0.74,0.5,0.8
77,5159.00 ,up,1.93 ,15,22,0,4,,0.733333333,1,
78,5161.13 ,up,1.20 ,15,23,0,5,,0.733333333,1,
79,5172.80 ,up,1.47 ,15,33,1,4,,0.733333333,0.5,
80,5174.70 ,up,0.77 ,15,43,1,6,,0.733333333,0.5,
81,5179.13 ,up,0.44 ,15,54,1,5,,0.733333333,0.5,
82,5191.10 ,up,3.63 ,15,35,1,4,,0.733333333,0.5,
83,5196.37 ,up,3.83 ,15,24,0,4,,0.733333333,1,
84,5200.37 ,up,35.96 ,15,23,0,6,ovp,0.733333333,1,0.75
85,5433.73 ,up,2.38 ,16,24,0,5,,0.713333333,1,
86,5436.63 ,up,4.27 ,16,25,0,4,,0.713333333,1,
87,5444.67 ,up,3.46 ,16,35,1,5,,0.713333333,0.5,
88,5448.60 ,up,6.03 ,16,45,1,5,,0.713333333,0.5,
89,5456.20 ,up,20.07 ,16,55,0,4,,0.713333333,1,
90,5485.33 ,up,5.27 ,16,42,1,7,,0.713333333,0.5,
91,5492.93 ,up,4.97 ,16,51,0,2,,0.713333333,1,
92,5517.57 ,up,1.06 ,16,53,0,5,,0.713333333,1,
93,5518.73 ,up,1.64 ,16,54,1,6,,0.713333333,0.5,
94,5530.93 ,up,52.90 ,16,53,0,6,ovp,0.713333333,1,0.8
95,5738.27 ,up,1.26 ,17,43,1,7,,0.693333333,0.5,
96,5741.43 ,up,1.90 ,17,33,1,5,,0.693333333,0.5,
97,5743.60 ,up,1.70 ,17,34,1,4,,0.693333333,0.5,
98,5746.27 ,up,3.36 ,17,24,0,6,,0.693333333,1,
99,5752.27 ,up,5.60 ,17,15,1,5,,0.693333333,0.5,
100,5849.60 ,up,23.70 ,17,12,0,4,,0.693333333,1,
101,5885.27 ,up,3.70 ,17,13,1,4,,0.693333333,0.5,
102,5890.27 ,up,43.53 ,17,14,0,3,ovp,0.693333333,1,0.6875
103,6078.07 ,up,0.96 ,end,24,0,7,,0.673333333,1,
104,6080.03 ,up,3.04 ,end,23,1,7,,0.673333333,0.5,
105,6086.53 ,up,5.37 ,end,22,0,5,,0.673333333,1,
106,6098.77 ,up,7.03 ,end,41,0,4,,0.673333333,1,
107,6106.30 ,up,4.43 ,end,31,0,1,,0.673333333,1,
108,6152.00 ,up,2.60 ,end,54,1,7,,0.673333333,0.5,
109,6161.23 ,up,2.14 ,end,52,1,4,,0.673333333,0.5,
110,6171.47 ,up,7.70 ,end,43,1,8,,0.673333333,0.5,
111,6179.60 ,up,2.17 ,end,42,1,8,,0.673333333,0.5,
112,6186.40 ,up,3.37 ,end,51,0,3,,0.673333333,1,
113,6209.17 ,up,4.03 ,end,52,1,5,,0.673333333,0.5,
114,6279.87 ,up,7.06 ,end,52,1,6,,0.673333333,0.5,
115,6290.50 ,up,2.37 ,end,53,1,7,,0.673333333,0.5,
116,6293.20 ,up,2.53 ,end,54,1,8,,0.673333333,0.5,
117,6342.47 ,up,2.80 ,end,11,0,3,,0.673333333,1,
118,6345.63 ,up,4.54 ,end,12,0,5,,0.673333333,1,
119,6357.20 ,up,1.10 ,end,13,1,5,,0.673333333,0.5,
120,6360.43 ,up,1.34 ,end,23,1,8,,0.673333333,0.5,
121,6362.70 ,up,7.47 ,end,24,0,8,,0.673333333,1,
122,6371.97 ,up,1.10 ,end,25,0,5,,0.673333333,1,
123,6421.10 ,up,3.33 ,end,15,1,6,,0.673333333,0.5,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
